urate,gdp,ngdp_usd_nsa,ipi,ber,reer,blr,corecpi,cpi,equity,fxr,policyrate,ltir,stir,privdebt,govdebt,hhdebt,corpdebt,pi_debt,pi_equity,fdi,houseprice,m2,epu
409151327,357434087,414264437,414442387,211828302,246278903,384229367,384111867,211003402,455946557,409149747,455941617,285457102,455954877,,,,,390142877,390142887,316280201,,409145227,
462132567,414411547,256235403,409237387,243085503,211831702,403684577,384111987,402793457,455954777,409149757,455941637,419652997,211490702 (ZMAAAAAAA),,,,,390142897,390142917,316155001,,409145237,
459181237,366837327,373678787,414442397,238189303,246280303,384229447,384112057,249408601 (MMIAAAAAA),455954887,409149767,455954377,419513687,455981737,,,,,390142927,390142937,299274902,,409145247,
459181247,298259101,298259201,409237407,240352003,238116303,385760627,384114727,301131201,46476001 (ZZBA),409151557,196692402,312151901 (TMEFABA),455972897,,,,,390142947,390142957,294638102,,409145257,
409151447,215448002,215448202,409237417,350372602,211189702,384246167,384123057,210414702,455981747,409151567,455946537,419361837,455961697,,,,,390142967,390142977,419518087,,409145267,
459181257,414411557,313741701 (PAAAAAAZAG),414442407,247430401 (MMMAAAAAA),419652497,384229777,384123177,237932403,455981657,409151577,455954757,404754887,455961497,,,,,390142987,390142997,299296302,,409145277,
409151467,414411567,212330302,414442417,292276301,230715502,415372357,384123867,238119603,455962107,409151587,455954867,314405101,455954947,,,,,390143007,390247797,375313757,,409145287,
459181267,414411577,414264447,414442427,214488802,238177703,384229947,384124097,414282597,450247097,409151597,389355567,419522637,455957697,,,,,390247807,390247837,261697303,,409145297,
459181277,369746997,237041703,414442437,211504802,238117903,384230237,414308827,211187102,455961707,409151617,455981647,455945487,385779837,,,,,390247847,390247877,419522067,,409145307,
459181287,414411587,414264457,414442447,236274303,230779802,384230317,384125127,211490402 (ZIAAAAAAA),455961507,409151627,455962097,313759701,455756467,,,,,390247887,390247957,366737667,,409145317,
409151497,414411597,237737903,414442457,210347502,238174303,384230427,384125217,367355697,455954957,409151637,450247087,402591007,455946277,,,,,390247967,390248037,374742347,,409145327,
459181297,455756487,239404503,414442467,227646302,414566477 (LMGFHAAAAAAAAQ),384232277,,298260101,455957707,409151647,455961687,,450505467,,,,,390248047,390248197,374741667,,409145337,
409151507,414411607,258868703,409245267,227651602 (ZMDMBAAAA),245733702,384232497,,215449002,455957727,409151657,455961487,,455955007,,,,,390248207,391405907,375325567,,409145347,
409151517,211457102 (SAUCCAAAA),414264467,415572577,227797402,255992503,384232607,,249414101 (PIAAAAAZAA),455756477,409151767,455954937,,456058727,,,,,391405917,415573087,281456203,,409145357,
459181307,414411617,414264477,414442477,298259701,320901501,416739247,,212329002,455946287,409151777,455957687,,450247997,,,,,415573097,390258417,375319577,,409145367,
459181317,414411627,414264487,465765967,227800002,247334701 (TMIADA),403701097,,210346302,450505477,409151787,455957717,,455957747,,,,,390258427,390258497,369159157,,409145377,
459181327,414411637,414264497,414442487,249413701 (PMAAAAAZAD),211196202,402591427,,374634967,455955017,409151797,455756457,,30987701 (LMEAD),,,,,390258507,390258607,419517807,,409145387,
,414411647,414264507,409245297,212328302,237008503 (TRMCCAAR),,,238553003,456058737,409151807,455946267,,455955147,,,,,390258617,390259037,375314487,,409145397,
,414411657,414264517,414442497,211830602,242470403,,,237737403,450312347,409151817,403397117 (SMFABBAAAAAABC),,455946227,,,,,390259047,390259637,298847002,,409145407,
,211488202 (LANCBAAAA),211488302 (LANCAAAAA),409245317,236041903,271708903,,,366748447,455957757,409154757,455954997,,450247707,,,,,390259647,390259657,375314017,,414267937,
,415572547,415572557,414442507,111961008,311853001 (GMAAAAAD),,,238284903,455942297,409154767,456058717,,456108387,,,,479996137,390259667,390260677,375312297,,409145427,
,414411667,211674102,409245337,240341103,412506977,,,414282617,415372257,409154777,450247987,,455946357,,,,479995737,390260687,390260747,299276302,,409145437,
,414411677,414264527,505809807,240351403,251099201,,,238177403,455942177,409154787,455957737,,455946397,,,,,390260757,390260797,375340057,,409145447,
,414411687,414264537,414442517,238284403,402595377,,,238118203,455955157,409154797,455942287,,455942317,,,,,390260807,390261547,294324902,,409145457,
,455946757,238113503,414442527,211458702 (SMDAAAAAA),,,,211923002,455946237,409154807,455955137,,456127717,,,,,390261557,390262847,415572767,,409145467,
,414411697,414264547,409245377,238176803,,,,208819402 (KITAAAAAA),455942217,409155687,455946217,,455945477,,,,,390262857,416806327,366748517,,415572607,
,236305503 (TRAMBT),237007303 (TRAMAU),416805897,238118703,,,,366737617,450247717,409155697,455942207,,403701087,,,,,416806337,390262887,299275602,,409145477,
,361009127,237740103,409245387,211922302,,,,211489302 (LIAPBAAAA),450247247,409155707,450247697,,455941507,,,,,390262897,390262967,261596003,,409145487,
,414341107,414341117,409245397,238173303,,,,447237317,455943317,409155717,455946747,,456086037,,,,,390262977,402590887,376970237,,409145497,
,414411707,414264557,402600817,211489602 (LMDMBAAAA),,,,235958902,455323097,415572617,450247237,,402590997,,,,,402677127,,455946777,,409145507,
,414411717,414264567,,235959702,,,,211676002,455946407,409155737,455943307,,16302501,,,,,,,319148801 (TJUAAAAAB),,414267957,
,251072501,251072601,,211675002,,,,455946207,455942327,409155747,455946347,,78040101,,,,,,,360985397,,409145527,
,416805867,416805877,,237934203,,,,357032737,455946187,409173637,455946387,,459254247,,,,,,,374827767,,409145537,
,212313202,468026577,,240355603,,,,414282637,43911201 (UZIEFA),409173647,455942307,,459145777,,,,,,,366764027,,409145547,
,468026567,,,314529301 (WMDFAAAA),,,,238115203,416739197,409173657,455946167,,459398037,,,,,,,315952001,,409145557,
,402590667,,,238115003,,,,249410901 (TIBBAJ),410619427,409173667,456107507,,,,,,,,,419522657,,409145567,
,,,,247334101 (TMAAAAAA),,,,211195502,44567501 (VZAA),409173677,455945467,,,,,,,,,367534507,,409145577,
,,,,240351703,,,,366734147 (TRIZEADAAAAAAB),402595387,409173687,416739177,,,,,,,,,416806087,,414278167,
,,,,236291103 (TRMGAA),,,,237739303,,409173697,476095497,,,,,,,,,366738137,,414278177,
,,,,240352503,,,,217443702,,409173707,455941497,,,,,,,,,298893602,,409145607,
,,,,227645402,,,,455946157,,409173717,456086027,,,,,,,,,402590857,,416805927,
,,,,209932002 (GMAAAAAAC),,,,414282657,,409173727,402590987,,,,,,,,,,,409145617,
,,,,227800102,,,,251085601,,416805937,,,,,,,,,,,,409145627,
,,,,416739187,,,,416739127,,409173737,,,,,,,,,,,,409145647,
,,,,227800202,,,,212314002,,409173747,,,,,,,,,,,,,
,,,,227697902 (VMAAAAAAB),,,,366760507,,409173757,,,,,,,,,,,,,
,,,,240353503,,,,366748687,,409173767,,,,,,,,,,,,,
,,,,402595367,,,,402595157,,,,,,,,,,,,,,,
,,,,,,,,414282467,,,,,,,,,,,,,,,
